work_order_id,opened_at,closed_at,property_area,system_type,issue_type,maintenance_type,priority,shift,technician_id,asset_age_years,guest_impact,room_out_of_order,response_minutes,repair_minutes,downtime_hours,labor_hours,parts_cost,labor_cost,total_cost,sla_target_minutes,sla_met,repeat_within_30_days,guest_satisfaction
WO-00056,2025-03-27 20:33:00,2025-03-27 22:40:00,Guest Room,Plumbing,Preventive inspection,Preventive,Medium,Evening,ENG-06,13,False,False,73,54,2.12,0.9,8.64,34.65,43.29,120,True,False,
WO-01117,2025-03-27 23:14:00,2025-03-28 01:58:00,Guest Room,HVAC,Condensate leak,Corrective,Emergency,Overnight,ENG-09,13,True,True,14,150,2.73,2.5,75.62,96.25,171.87,15,True,True,4.6
WO-00896,2025-03-28 00:38:00,2025-03-28 03:52:00,Guest Room,HVAC,Filter replacement,Corrective,Medium,Overnight,ENG-08,5,True,False,92,102,3.23,1.7,367.36,65.45,432.81,120,True,False,4.1
WO-00071,2025-03-28 07:19:00,2025-03-28 09:34:00,Guest Room,HVAC,Thermostat fault,Preventive,Low,Day,ENG-01,9,True,False,93,42,2.25,0.7,75.15,26.95,102.1,240,True,False,3.9
WO-00285,2025-03-28 16:29:00,2025-03-28 19:32:00,Guest Room,HVAC,Filter replacement,Corrective,Medium,Evening,ENG-06,8,True,False,55,128,3.05,2.13,57.12,82.0,139.12,120,True,False,3.8
WO-01086,2025-03-28 17:35:00,2025-03-28 19:23:00,Guest Room,Electrical,Control panel fault,Corrective,Medium,Evening,ENG-06,4,True,False,45,63,1.8,1.05,178.86,40.43,219.29,120,True,False,4.4
WO-00173,2025-03-29 10:18:00,2025-03-29 13:23:00,Exterior,Electrical,Outlet failure,Corrective,Medium,Day,ENG-03,1,False,False,68,117,3.08,1.95,185.3,75.08,260.38,120,True,False,
WO-01068,2025-03-29 19:39:00,2025-03-29 22:16:00,Mechanical Room,Life Safety,Alarm device fault,Corrective,Medium,Evening,ENG-06,8,False,False,76,81,2.62,1.35,122.55,51.98,174.53,120,True,False,
WO-01044,2025-03-30 08:32:00,2025-03-30 11:47:00,Guest Room,Life Safety,Panel communication fault,Corrective,Low,Day,ENG-03,13,True,False,127,68,3.25,1.13,131.59,43.5,175.09,240,True,False,4.3
WO-00433,2025-03-30 21:02:00,2025-03-30 23:03:00,Guest Room,HVAC,Thermostat fault,Corrective,High,Evening,ENG-07,3,False,False,41,80,2.02,1.33,336.48,51.21,387.69,30,False,False,
WO-00708,2025-03-31 04:10:00,2025-03-31 06:12:00,Guest Room,General Maintenance,Preventive inspection,Corrective,Medium,Overnight,ENG-09,8,True,False,64,58,2.03,0.97,40.03,37.34,77.37,120,True,False,5.0
WO-00473,2025-03-31 16:11:00,2025-03-31 18:03:00,Mechanical Room,Plumbing,No hot water,Corrective,High,Evening,ENG-05,6,False,False,21,91,1.87,1.52,6.82,58.52,65.34,30,True,False,
WO-01051,2025-03-31 16:37:00,2025-03-31 19:07:00,Guest Room,Electrical,Outlet failure,Corrective,Medium,Evening,ENG-07,4,False,False,35,115,2.5,1.92,83.15,73.92,157.07,120,True,False,
WO-00882,2025-03-31 20:36:00,2025-03-31 22:14:00,Kitchen,Plumbing,Preventive inspection,Preventive,Medium,Evening,ENG-06,4,False,False,40,58,1.63,0.97,100.7,37.34,138.04,120,True,False,
WO-01132,2025-04-01 09:43:00,2025-04-01 11:31:00,Laundry,Plumbing,Drain blockage,Corrective,High,Day,ENG-01,5,False,False,29,79,1.8,1.32,48.24,50.82,99.06,30,True,True,
WO-00321,2025-04-01 10:06:00,2025-04-01 12:26:00,Mechanical Room,Refrigeration,Compressor fault,Corrective,High,Day,ENG-01,1,False,False,28,112,2.33,1.87,460.5,72.0,532.5,30,True,False,
WO-00686,2025-04-01 11:58:00,2025-04-01 14:20:00,Guest Room,Plumbing,Preventive inspection,Preventive,Low,Day,ENG-02,12,False,False,81,61,2.37,1.02,8.03,39.27,47.3,240,True,True,
WO-00929,2025-04-02 05:50:00,2025-04-02 08:43:00,Laundry,Plumbing,Preventive inspection,Preventive,Low,Overnight,ENG-08,9,True,False,135,38,2.88,0.63,31.99,24.25,56.24,240,True,False,4.4
WO-00621,2025-04-02 15:10:00,2025-04-02 18:23:00,Kitchen,HVAC,Room not cooling,Preventive,Low,Evening,ENG-07,8,False,False,139,54,3.22,0.9,60.3,34.65,94.95,240,True,False,
WO-00497,2025-04-02 16:30:00,2025-04-02 21:55:00,Kitchen,Refrigeration,Temperature above range,Preventive,Low,Evening,ENG-05,6,False,False,141,184,5.42,3.07,35.67,118.19,153.86,240,True,False,
WO-00221,2025-04-02 17:38:00,2025-04-02 20:41:00,Laundry,Refrigeration,Door seal failure,Corrective,Emergency,Evening,ENG-07,8,False,False,11,172,3.05,2.87,139.45,110.5,249.95,15,True,False,
WO-00421,2025-04-03 00:24:00,2025-04-03 03:39:00,Exterior,Electrical,Preventive inspection,Corrective,Medium,Overnight,ENG-08,8,False,False,78,117,3.25,1.95,85.48,75.08,160.56,120,True,False,
WO-00495,2025-04-03 15:56:00,2025-04-03 17:25:00,Meeting Space,Electrical,Breaker trip,Corrective,Emergency,Evening,ENG-06,9,True,False,7,82,1.48,1.37,34.54,52.75,87.29,15,True,False,4.6
WO-00137,2025-04-04 09:38:00,2025-04-04 11:35:00,Meeting Space,Electrical,Preventive inspection,Preventive,Medium,Day,ENG-02,6,False,False,70,47,1.95,0.78,68.23,30.03,98.26,120,True,False,
WO-00166,2025-04-04 10:36:00,2025-04-04 12:43:00,Kitchen,Electrical,Preventive inspection,Corrective,High,Day,ENG-02,4,False,False,19,108,2.12,1.8,221.22,69.3,290.52,30,True,False,
WO-00423,2025-04-04 23:26:00,2025-04-05 01:31:00,Guest Room,Electrical,Breaker trip,Corrective,Medium,Overnight,ENG-09,2,True,False,39,86,2.08,1.43,46.55,55.05,101.6,120,True,False,4.8
WO-00748,2025-04-05 08:43:00,2025-04-05 10:44:00,Guest Room,Electrical,Control panel fault,Corrective,Medium,Day,ENG-02,13,False,False,54,67,2.02,1.12,143.53,43.12,186.65,120,True,False,
WO-00576,2025-04-05 16:49:00,2025-04-05 20:59:00,Mechanical Room,HVAC,Fan motor failure,Preventive,Low,Evening,ENG-07,5,False,False,190,60,4.17,1.0,61.38,38.5,99.88,240,True,False,
WO-00676,2025-04-05 18:17:00,2025-04-05 21:07:00,Meeting Space,General Maintenance,Wall or ceiling damage,Corrective,Low,Evening,ENG-06,5,True,False,132,38,2.83,0.63,38.3,24.25,62.55,240,True,False,4.5
WO-00383,2025-04-05 20:48:00,2025-04-05 22:44:00,Guest Room,HVAC,Filter replacement,Preventive,Medium,Evening,ENG-07,5,True,False,44,72,1.93,1.2,285.76,46.2,331.96,120,True,False,4.4
WO-01031,2025-04-05 21:56:00,2025-04-06 00:58:00,Guest Room,HVAC,Room not cooling,Corrective,Medium,Evening,ENG-07,5,True,False,72,110,3.03,1.83,42.85,70.45,113.3,120,True,False,4.8
WO-00660,2025-04-06 03:43:00,2025-04-06 08:12:00,Guest Room,Plumbing,Preventive inspection,Preventive,Low,Overnight,ENG-09,5,True,False,169,100,4.48,1.67,36.38,64.3,100.68,240,True,True,4.4
WO-01006,2025-04-06 10:53:00,2025-04-06 14:59:00,Laundry,Refrigeration,Temperature above range,Preventive,Low,Day,ENG-04,8,False,False,158,88,4.1,1.47,26.25,56.59,82.84,240,True,False,
WO-00260,2025-04-06 11:40:00,2025-04-06 14:31:00,Meeting Space,Electrical,Preventive inspection,Corrective,Medium,Day,ENG-03,11,False,False,103,68,2.85,1.13,144.43,43.5,187.93,120,True,False,
WO-00694,2025-04-06 14:14:00,2025-04-06 15:54:00,Guest Room,Electrical,Outlet failure,Corrective,High,Day,ENG-04,2,True,False,25,75,1.67,1.25,145.32,48.12,193.44,30,True,False,4.5
WO-00104,2025-04-06 14:18:00,2025-04-06 17:10:00,Meeting Space,HVAC,Filter replacement,Corrective,High,Day,ENG-01,9,False,False,31,141,2.87,2.35,15.91,90.48,106.39,30,False,False,
WO-01155,2025-04-07 05:18:00,2025-04-07 08:00:00,Guest Room,HVAC,Filter replacement,Preventive,Medium,Overnight,ENG-09,7,True,False,61,101,2.7,1.68,50.53,64.68,115.21,120,True,False,4.3
WO-00351,2025-04-07 13:25:00,2025-04-07 15:51:00,Kitchen,Refrigeration,Coil cleaning,Corrective,Emergency,Day,ENG-01,2,False,False,11,135,2.43,2.25,326.99,86.62,413.61,15,True,False,
WO-01139,2025-04-07 14:48:00,2025-04-07 17:27:00,Laundry,Plumbing,Fixture leak,Corrective,Medium,Day,ENG-01,1,False,False,94,65,2.65,1.08,187.22,41.58,228.8,120,True,False,
WO-01134,2025-04-08 08:51:00,2025-04-08 11:52:00,Meeting Space,Electrical,Lighting outage,Corrective,Medium,Day,ENG-01,4,False,False,52,129,3.02,2.15,181.67,82.77,264.44,120,True,False,
WO-00857,2025-04-08 10:26:00,2025-04-08 13:55:00,Mechanical Room,Refrigeration,Ice buildup,Corrective,High,Day,ENG-03,6,False,False,28,181,3.48,3.02,102.29,116.27,218.56,30,True,False,
WO-00732,2025-04-08 11:59:00,2025-04-08 13:38:00,Meeting Space,General Maintenance,Preventive inspection,Corrective,High,Day,ENG-03,9,False,False,36,63,1.65,1.05,17.75,40.43,58.18,30,False,False,
WO-01066,2025-04-08 16:30:00,2025-04-08 19:30:00,Guest Room,HVAC,Thermostat fault,Corrective,Medium,Evening,ENG-07,2,False,False,106,74,3.0,1.23,399.35,47.35,446.7,120,True,False,
WO-00784,2025-04-08 16:41:00,2025-04-08 20:44:00,Kitchen,Electrical,Preventive inspection,Preventive,Low,Evening,ENG-06,1,False,False,201,42,4.05,0.7,12.71,26.95,39.66,240,True,False,
WO-00081,2025-04-08 19:42:00,2025-04-08 23:30:00,Guest Room,HVAC,Condensate leak,Corrective,Medium,Evening,ENG-07,13,True,False,68,160,3.8,2.67,90.69,102.8,193.49,120,True,True,3.9
WO-00401,2025-04-09 01:52:00,2025-04-09 03:37:00,Mechanical Room,Plumbing,Drain blockage,Corrective,High,Overnight,ENG-08,8,False,False,32,73,1.75,1.22,269.59,46.97,316.56,30,False,False,
WO-00150,2025-04-09 06:18:00,2025-04-09 10:03:00,Kitchen,Refrigeration,Compressor fault,Corrective,Medium,Overnight,ENG-09,11,False,False,111,114,3.75,1.9,154.37,73.15,227.52,120,True,False,
WO-00407,2025-04-09 12:43:00,2025-04-09 14:50:00,Lobby,Electrical,Control panel fault,Corrective,High,Day,ENG-03,9,False,False,17,110,2.12,1.83,60.1,70.45,130.55,30,True,False,
WO-00666,2025-04-09 16:12:00,2025-04-09 19:41:00,Guest Room,HVAC,Fan motor failure,Preventive,Low,Evening,ENG-07,7,True,False,127,82,3.48,1.37,56.91,52.75,109.66,240,True,False,3.9
WO-00744,2025-04-09 21:57:00,2025-04-10 02:04:00,Laundry,Refrigeration,Door seal failure,Corrective,High,Evening,ENG-07,7,False,False,40,207,4.12,3.45,113.42,132.83,246.25,30,False,False,
WO-00329,2025-04-11 10:37:00,2025-04-11 12:49:00,Guest Room,Plumbing,Fixture leak,Corrective,Medium,Day,ENG-03,5,True,False,57,75,2.2,1.25,49.1,48.12,97.22,120,True,False,3.8
WO-00428,2025-04-11 14:11:00,2025-04-11 18:27:00,Guest Room,Plumbing,Preventive inspection,Preventive,Low,Day,ENG-04,13,True,False,212,44,4.27,0.73,100.4,28.11,128.51,240,True,False,4.2
WO-00948,2025-04-11 16:14:00,2025-04-11 21:30:00,Mechanical Room,Refrigeration,Coil cleaning,Preventive,Medium,Evening,ENG-07,9,False,False,163,153,5.27,2.55,44.19,98.17,142.36,120,False,False,
WO-01101,2025-04-11 22:01:00,2025-04-12 00:08:00,Lobby,General Maintenance,Wall or ceiling damage,Corrective,Medium,Evening,ENG-05,7,True,False,64,63,2.12,1.05,41.94,40.43,82.37,120,True,False,4.0
WO-00206,2025-04-12 06:57:00,2025-04-12 09:08:00,Guest Room,Electrical,Lighting outage,Corrective,High,Overnight,ENG-09,8,True,False,28,103,2.18,1.72,48.17,66.22,114.39,30,True,False,4.0
WO-00892,2025-04-12 09:02:00,2025-04-12 11:45:00,Guest Room,Electrical,Lighting outage,Corrective,Medium,Day,ENG-02,2,True,False,53,110,2.72,1.83,18.58,70.45,89.03,120,True,False,4.6
WO-00203,2025-04-12 11:14:00,2025-04-12 13:26:00,Kitchen,Electrical,Control panel fault,Corrective,Medium,Day,ENG-04,9,False,False,48,84,2.2,1.4,42.69,53.9,96.59,120,True,False,
WO-00529,2025-04-12 19:41:00,2025-04-12 22:35:00,Guest Room,Electrical,Outlet failure,Corrective,Medium,Evening,ENG-05,3,False,False,101,73,2.9,1.22,54.46,46.97,101.43,120,True,False,
WO-00509,2025-04-13 13:52:00,2025-04-13 16:30:00,Guest Room,HVAC,Room not cooling,Corrective,High,Day,ENG-02,5,True,False,18,140,2.63,2.33,88.21,89.7,177.91,30,True,False,4.6
WO-00507,2025-04-13 15:09:00,2025-04-13 16:55:00,Guest Room,Plumbing,No hot water,Corrective,Medium,Evening,ENG-05,11,False,False,35,71,1.77,1.18,94.49,45.43,139.92,120,True,False,
WO-00227,2025-04-13 15:30:00,2025-04-13 19:00:00,Kitchen,Refrigeration,Temperature above range,Preventive,Medium,Evening,ENG-05,6,False,False,85,125,3.5,2.08,34.83,80.08,114.91,120,True,True,
WO-00314,2025-04-13 19:35:00,2025-04-13 20:28:00,Kitchen,General Maintenance,Wall or ceiling damage,Corrective,Emergency,Evening,ENG-05,1,False,False,8,45,0.88,0.75,13.53,28.88,42.41,15,True,False,
WO-00844,2025-04-13 20:19:00,2025-04-13 23:39:00,Guest Room,HVAC,Filter replacement,Corrective,Medium,Evening,ENG-07,7,False,False,76,124,3.33,2.07,37.28,79.69,116.97,120,True,False,
WO-00672,2025-04-13 21:33:00,2025-04-14 00:28:00,Exterior,Electrical,Preventive inspection,Corrective,High,Evening,ENG-05,3,True,False,21,154,2.92,2.57,54.17,98.94,153.11,30,True,False,3.8
WO-00443,2025-04-13 22:59:00,2025-04-14 00:56:00,Guest Room,General Maintenance,Preventive inspection,Preventive,Medium,Evening,ENG-06,7,True,False,63,54,1.95,0.9,8.46,34.65,43.11,120,True,False,4.2
WO-00178,2025-04-14 06:56:00,2025-04-14 10:27:00,Mechanical Room,HVAC,Thermostat fault,Corrective,High,Overnight,ENG-09,4,False,False,38,173,3.52,2.88,279.58,110.88,390.46,30,False,False,
WO-00223,2025-04-14 09:52:00,2025-04-14 11:50:00,Exterior,Life Safety,Alarm device fault,Corrective,High,Day,ENG-01,8,False,False,26,92,1.97,1.53,355.37,58.91,414.28,30,True,False,
WO-00250,2025-04-14 14:21:00,2025-04-14 15:59:00,Guest Room,Life Safety,Alarm device fault,Corrective,High,Day,ENG-04,8,False,False,18,80,1.63,1.33,90.23,51.21,141.44,30,True,False,
WO-01081,2025-04-15 08:33:00,2025-04-15 12:32:00,Kitchen,Refrigeration,Ice buildup,Preventive,Low,Day,ENG-04,7,False,False,150,89,3.98,1.48,176.12,56.98,233.1,240,True,False,
WO-00477,2025-04-15 12:22:00,2025-04-15 13:55:00,Guest Room,Plumbing,Fixture leak,Corrective,Emergency,Day,ENG-04,9,True,True,11,82,1.55,1.37,0.83,52.75,53.58,15,True,False,4.5
WO-00704,2025-04-15 17:00:00,2025-04-15 21:20:00,Mechanical Room,Refrigeration,Door seal failure,Corrective,Medium,Evening,ENG-07,7,False,False,106,154,4.33,2.57,295.44,98.94,394.38,120,True,False,
WO-00346,2025-04-15 18:30:00,2025-04-15 21:52:00,Guest Room,Plumbing,Preventive inspection,Preventive,Low,Evening,ENG-05,9,False,False,149,53,3.37,0.88,21.23,33.88,55.11,240,True,False,
WO-00282,2025-04-15 19:48:00,2025-04-15 22:39:00,Mechanical Room,Refrigeration,Coil cleaning,Preventive,Low,Evening,ENG-07,5,True,False,119,52,2.85,0.87,23.19,33.49,56.68,240,True,False,3.7
WO-00923,2025-04-16 12:17:00,2025-04-16 13:50:00,Lobby,General Maintenance,Wall or ceiling damage,Corrective,Medium,Day,ENG-02,11,False,False,43,50,1.55,0.83,22.86,31.95,54.81,120,True,False,
WO-01058,2025-04-16 18:12:00,2025-04-16 20:48:00,Lobby,General Maintenance,Preventive inspection,Preventive,Low,Evening,ENG-07,9,False,False,106,50,2.6,0.83,12.96,31.95,44.91,240,True,False,
WO-00181,2025-04-16 19:00:00,2025-04-16 21:06:00,Guest Room,Plumbing,Preventive inspection,Preventive,Medium,Evening,ENG-05,1,False,False,91,35,2.1,0.58,21.96,22.33,44.29,120,True,False,
WO-01073,2025-04-16 19:17:00,2025-04-16 21:47:00,Lobby,General Maintenance,Wall or ceiling damage,Corrective,Medium,Evening,ENG-05,14,False,False,63,87,2.5,1.45,52.41,55.82,108.23,120,True,False,
WO-00571,2025-04-16 21:22:00,2025-04-16 23:53:00,Mechanical Room,Plumbing,Preventive inspection,Preventive,Medium,Evening,ENG-05,12,False,False,48,103,2.52,1.72,3.25,66.22,69.47,120,True,False,
WO-00651,2025-04-17 10:17:00,2025-04-17 11:58:00,Guest Room,General Maintenance,Furniture repair,Corrective,Medium,Day,ENG-04,12,False,False,54,47,1.68,0.78,45.34,30.03,75.37,120,True,False,
WO-00899,2025-04-17 16:36:00,2025-04-17 19:25:00,Guest Room,HVAC,Room not cooling,Corrective,Emergency,Evening,ENG-05,6,True,True,9,160,2.82,2.67,29.39,102.8,132.19,15,True,False,4.6
WO-00034,2025-04-18 05:23:00,2025-04-18 08:45:00,Guest Room,Plumbing,No hot water,Corrective,Low,Overnight,ENG-08,5,True,False,129,73,3.37,1.22,50.92,46.97,97.89,240,True,False,4.1
WO-00685,2025-04-18 07:48:00,2025-04-18 12:13:00,Kitchen,Refrigeration,Coil cleaning,Corrective,Low,Day,ENG-01,6,True,False,122,143,4.42,2.38,78.28,91.63,169.91,240,True,False,4.6
WO-00552,2025-04-18 11:21:00,2025-04-18 14:24:00,Mechanical Room,HVAC,Thermostat fault,Corrective,Medium,Day,ENG-03,4,False,False,58,125,3.05,2.08,24.77,80.08,104.85,120,True,False,
WO-00885,2025-04-19 06:41:00,2025-04-19 09:47:00,Lobby,Electrical,Lighting outage,Corrective,Medium,Overnight,ENG-09,3,False,False,117,69,3.1,1.15,95.66,44.27,139.93,120,True,False,
WO-00588,2025-04-19 15:14:00,2025-04-19 19:31:00,Meeting Space,Electrical,Breaker trip,Corrective,Low,Evening,ENG-06,10,False,False,149,108,4.28,1.8,236.12,69.3,305.42,240,True,False,
WO-00209,2025-04-20 00:26:00,2025-04-20 02:37:00,Guest Room,Life Safety,Exit sign failure,Corrective,High,Overnight,ENG-08,5,True,True,36,95,2.18,1.58,126.74,60.83,187.57,30,False,False,3.7
WO-00168,2025-04-20 08:51:00,2025-04-20 11:56:00,Guest Room,Plumbing,Drain blockage,Corrective,Medium,Day,ENG-03,3,True,False,62,123,3.08,2.05,105.31,78.92,184.23,120,True,False,4.3
WO-00454,2025-04-20 10:38:00,2025-04-20 14:23:00,Kitchen,Refrigeration,Coil cleaning,Corrective,Medium,Day,ENG-04,3,False,False,51,174,3.75,2.9,7.97,111.65,119.62,120,True,False,
WO-00594,2025-04-20 18:35:00,2025-04-20 21:51:00,Kitchen,Refrigeration,Coil cleaning,Corrective,Medium,Evening,ENG-06,9,False,False,102,94,3.27,1.57,201.22,60.45,261.67,120,True,False,
WO-00574,2025-04-21 09:15:00,2025-04-21 10:51:00,Guest Room,Plumbing,No hot water,Corrective,High,Day,ENG-03,10,True,True,13,83,1.6,1.38,76.89,53.13,130.02,30,True,False,4.3
WO-00718,2025-04-21 10:13:00,2025-04-21 12:25:00,Guest Room,Plumbing,Drain blockage,Corrective,Medium,Day,ENG-02,5,False,False,43,89,2.2,1.48,37.44,56.98,94.42,120,True,False,
WO-00800,2025-04-21 14:33:00,2025-04-21 16:30:00,Lobby,General Maintenance,Wall or ceiling damage,Corrective,Medium,Day,ENG-03,1,False,False,65,52,1.95,0.87,68.35,33.49,101.84,120,True,False,
WO-00352,2025-04-21 15:47:00,2025-04-21 17:59:00,Meeting Space,HVAC,Filter replacement,Corrective,Emergency,Evening,ENG-05,4,False,False,12,120,2.2,2.0,121.27,77.0,198.27,15,True,False,
WO-00439,2025-04-21 22:59:00,2025-04-22 01:32:00,Kitchen,Electrical,Lighting outage,Corrective,Medium,Evening,ENG-05,2,False,False,56,97,2.55,1.62,369.2,62.37,431.57,120,True,False,
WO-00830,2025-04-22 01:43:00,2025-04-22 05:00:00,Kitchen,Refrigeration,Compressor fault,Corrective,High,Overnight,ENG-09,10,False,False,30,167,3.28,2.78,73.32,107.03,180.35,30,True,True,
WO-00456,2025-04-22 08:12:00,2025-04-22 10:26:00,Kitchen,HVAC,Thermostat fault,Corrective,High,Day,ENG-02,1,True,False,33,101,2.23,1.68,92.99,64.68,157.67,30,False,False,3.8
WO-00964,2025-04-23 06:45:00,2025-04-23 08:20:00,Guest Room,General Maintenance,Wall or ceiling damage,Corrective,High,Overnight,ENG-09,7,True,True,25,70,1.58,1.17,46.11,45.04,91.15,30,True,False,4.6
WO-00022,2025-04-23 11:11:00,2025-04-23 13:07:00,Kitchen,Electrical,Outlet failure,Corrective,Medium,Day,ENG-03,7,False,False,33,83,1.93,1.38,78.81,53.13,131.94,120,True,False,
WO-00511,2025-04-23 17:44:00,2025-04-23 19:08:00,Guest Room,Plumbing,Low water pressure,Corrective,High,Evening,ENG-06,8,True,True,14,70,1.4,1.17,98.62,45.04,143.66,30,True,False,4.5
WO-00248,2025-04-24 16:46:00,2025-04-24 20:04:00,Guest Room,Plumbing,Drain blockage,Corrective,Low,Evening,ENG-06,11,False,False,113,85,3.3,1.42,62.78,54.67,117.45,240,True,False,
WO-00730,2025-04-25 08:42:00,2025-04-25 10:27:00,Lobby,Electrical,Lighting outage,Corrective,High,Day,ENG-02,10,False,False,14,91,1.75,1.52,160.34,58.52,218.86,30,True,False,
WO-00345,2025-04-25 10:21:00,2025-04-25 13:36:00,Meeting Space,Refrigeration,Ice buildup,Corrective,Medium,Day,ENG-02,3,False,False,43,152,3.25,2.53,126.02,97.4,223.42,120,True,True,
WO-00133,2025-04-25 19:58:00,2025-04-25 21:28:00,Meeting Space,Electrical,Lighting outage,Corrective,Emergency,Evening,ENG-07,1,True,False,11,79,1.5,1.32,15.17,50.82,65.99,15,True,False,5.0
WO-00807,2025-04-26 17:05:00,2025-04-26 19:39:00,Guest Room,HVAC,Room not cooling,Corrective,Low,Evening,ENG-06,5,True,False,86,68,2.57,1.13,122.06,43.5,165.56,240,True,False,5.0
WO-00766,2025-04-27 15:28:00,2025-04-27 17:57:00,Guest Room,HVAC,Thermostat fault,Corrective,Medium,Evening,ENG-07,5,True,False,59,90,2.48,1.5,270.48,57.75,328.23,120,True,True,3.3
WO-01061,2025-04-27 16:12:00,2025-04-27 18:01:00,Kitchen,Plumbing,Drain blockage,Corrective,Medium,Evening,ENG-05,8,False,False,74,35,1.82,0.58,130.02,22.33,152.35,120,True,False,
WO-00141,2025-04-28 09:49:00,2025-04-28 12:36:00,Mechanical Room,Plumbing,No hot water,Corrective,High,Day,ENG-02,5,True,False,21,146,2.78,2.43,97.04,93.56,190.6,30,True,False,4.4
WO-01103,2025-04-28 11:40:00,2025-04-28 13:23:00,Guest Room,Electrical,Outlet failure,Corrective,Medium,Day,ENG-02,9,False,False,53,50,1.72,0.83,170.33,31.95,202.28,120,True,False,
WO-00083,2025-04-28 12:22:00,2025-04-28 13:53:00,Guest Room,Electrical,Lighting outage,Corrective,High,Day,ENG-02,4,True,True,22,69,1.52,1.15,17.19,44.27,61.46,30,True,False,4.6
WO-01013,2025-04-28 17:00:00,2025-04-28 19:02:00,Guest Room,HVAC,Condensate leak,Preventive,Medium,Evening,ENG-07,8,True,False,64,58,2.03,0.97,104.29,37.34,141.63,120,True,True,4.4
WO-00871,2025-04-29 05:44:00,2025-04-29 07:17:00,Guest Room,Plumbing,Preventive inspection,Preventive,Medium,Overnight,ENG-09,4,True,False,48,45,1.55,0.75,18.42,28.88,47.3,120,True,False,4.3
WO-01079,2025-04-29 20:59:00,2025-04-29 22:26:00,Meeting Space,Life Safety,Sprinkler inspection,Preventive,Medium,Evening,ENG-05,9,False,False,46,41,1.45,0.68,33.66,26.18,59.84,120,True,False,
WO-00245,2025-04-30 09:57:00,2025-04-30 14:11:00,Mechanical Room,Refrigeration,Compressor fault,Corrective,Medium,Day,ENG-02,2,False,False,51,203,4.23,3.38,87.99,130.13,218.12,120,True,False,
WO-00233,2025-04-30 10:29:00,2025-04-30 13:28:00,Guest Room,General Maintenance,Preventive inspection,Preventive,Low,Day,ENG-01,7,True,False,122,57,2.98,0.95,43.74,36.57,80.31,240,True,False,4.4
WO-00082,2025-04-30 10:52:00,2025-04-30 13:31:00,Kitchen,HVAC,Room not cooling,Corrective,Emergency,Day,ENG-01,8,False,False,8,151,2.65,2.52,210.76,97.02,307.78,15,True,False,
WO-00156,2025-04-30 12:07:00,2025-04-30 14:40:00,Mechanical Room,Life Safety,Emergency light failure,Corrective,Medium,Day,ENG-02,8,False,False,51,102,2.55,1.7,38.35,65.45,103.8,120,True,False,
WO-01175,2025-04-30 18:46:00,2025-04-30 20:38:00,Lobby,HVAC,Condensate leak,Preventive,Medium,Evening,ENG-05,7,True,False,35,77,1.87,1.28,12.46,49.28,61.74,120,True,False,5.0
WO-00924,2025-05-01 06:06:00,2025-05-01 07:52:00,Lobby,Electrical,Outlet failure,Corrective,Medium,Overnight,ENG-09,4,True,False,37,69,1.77,1.15,79.62,44.27,123.89,120,True,False,4.8
WO-00013,2025-05-01 09:17:00,2025-05-01 11:54:00,Meeting Space,HVAC,Thermostat fault,Corrective,High,Day,ENG-03,3,False,False,15,142,2.62,2.37,155.26,91.25,246.51,30,True,True,
WO-00287,2025-05-01 10:16:00,2025-05-01 11:56:00,Guest Room,HVAC,Room not cooling,Corrective,Emergency,Day,ENG-04,12,True,True,8,92,1.67,1.53,33.7,58.91,92.61,15,True,True,4.4
WO-00425,2025-05-01 11:17:00,2025-05-01 13:51:00,Guest Room,HVAC,Fan motor failure,Preventive,Low,Day,ENG-02,10,True,False,65,89,2.57,1.48,140.37,56.98,197.35,240,True,False,3.5
WO-00801,2025-05-01 18:30:00,2025-05-01 21:46:00,Guest Room,HVAC,Filter replacement,Corrective,Emergency,Evening,ENG-07,12,True,False,7,189,3.27,3.15,67.38,121.27,188.65,15,True,False,4.3
WO-01030,2025-05-02 07:11:00,2025-05-02 09:23:00,Guest Room,Electrical,Control panel fault,Corrective,Medium,Day,ENG-04,7,False,False,64,68,2.2,1.13,23.82,43.5,67.32,120,True,False,
WO-00782,2025-05-02 19:23:00,2025-05-02 22:26:00,Kitchen,Refrigeration,Coil cleaning,Corrective,High,Evening,ENG-06,12,True,False,15,168,3.05,2.8,70.14,107.8,177.94,30,True,True,4.9
WO-00547,2025-05-03 13:01:00,2025-05-03 14:52:00,Lobby,General Maintenance,Furniture repair,Corrective,Medium,Day,ENG-03,1,False,False,51,60,1.85,1.0,79.68,38.5,118.18,120,True,False,
WO-00783,2025-05-03 13:38:00,2025-05-03 17:34:00,Lobby,Plumbing,Fixture leak,Corrective,Medium,Day,ENG-04,2,False,False,74,162,3.93,2.7,6.62,103.95,110.57,120,True,False,
WO-01094,2025-05-03 15:21:00,2025-05-03 17:16:00,Guest Room,Plumbing,Fixture leak,Corrective,Medium,Evening,ENG-07,9,False,False,37,78,1.92,1.3,39.9,50.05,89.95,120,True,False,
WO-01109,2025-05-03 17:12:00,2025-05-03 19:11:00,Guest Room,HVAC,Fan motor failure,Corrective,Emergency,Evening,ENG-07,14,False,False,11,108,1.98,1.8,204.81,69.3,274.11,15,True,False,
